Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.353 | 4.292 | 0.001000 | 9.922 | 89.300
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.912 | 3.908 | 0.001000 | 19.029 | 152.233
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.858 | 3.788 | 0.001000 | 28.157 | 197.102
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.841 | 3.842 | 0.001000 | 37.293 | 223.757
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.837 | 3.822 | 0.001000 | 46.430 | 232.152
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.882 | 3.813 | 0.001000 | 55.546 | 222.184
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.854 | 3.838 | 0.001000 | 64.635 | 193.904
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.855 | 3.810 | 0.001000 | 73.748 | 147.495
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.850 | 3.835 | 0.001000 | 82.844 | 82.844
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.216 | 6.217 | 0.001000 | 0.804 | 8.041
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.493 | 4.505 | 0.001000 | 10.137 | 91.232
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.307 | 4.276 | 0.001000 | 19.442 | 155.533
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.931 | 3.908 | 0.001000 | 28.763 | 201.343
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 4.085 | 4.025 | 0.001000 | 38.110 | 228.658
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.937 | 3.901 | 0.001000 | 47.456 | 237.279
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.858 | 3.888 | 0.001000 | 56.804 | 227.218
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.950 | 3.941 | 0.001000 | 66.143 | 198.429
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.928 | 3.838 | 0.001000 | 75.481 | 150.961
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.868 | 3.840 | 0.001000 | 84.825 | 84.825
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.225 | 6.227 | 0.001000 | 0.776 | 7.761
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.883 | 4.874 | 0.001000 | 9.825 | 88.426
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.072 | 4.023 | 0.001000 | 18.861 | 150.884
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.947 | 3.907 | 0.001000 | 27.895 | 195.266
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.903 | 3.892 | 0.001000 | 36.941 | 221.646
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.868 | 3.900 | 0.001000 | 45.987 | 229.934
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.880 | 3.852 | 0.001000 | 55.030 | 220.118
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.811 | 3.806 | 0.001000 | 64.073 | 192.218
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.834 | 3.923 | 0.001000 | 73.120 | 146.239
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.797 | 3.855 | 0.001000 | 82.162 | 82.162
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.185 | 6.189 | 0.001000 | 0.792 | 7.924
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.673 | 4.706 | 0.001000 | 9.972 | 89.746
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.245 | 4.147 | 0.001000 | 19.126 | 153.006
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.945 | 3.882 | 0.001000 | 28.282 | 197.973
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.884 | 3.852 | 0.001000 | 37.453 | 224.721
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.841 | 3.821 | 0.001000 | 46.628 | 233.138
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.879 | 3.800 | 0.001000 | 55.822 | 223.289
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.856 | 3.875 | 0.001000 | 65.017 | 195.051
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.800 | 3.822 | 0.001000 | 74.211 | 148.423
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.840 | 3.813 | 0.001000 | 83.402 | 83.402
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.227 | 6.222 | 0.001000 | 0.770 | 7.701
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.389 | 4.330 | 0.001000 | 10.074 | 90.669
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.359 | 4.197 | 0.001000 | 19.262 | 154.098
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.850 | 3.875 | 0.001000 | 28.505 | 199.535
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.887 | 3.841 | 0.001000 | 37.738 | 226.430
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.806 | 3.881 | 0.001000 | 46.948 | 234.738
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.855 | 3.839 | 0.001000 | 56.173 | 224.692
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.837 | 3.838 | 0.001000 | 65.456 | 196.367
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.861 | 3.851 | 0.001000 | 74.726 | 149.453
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.824 | 3.852 | 0.001000 | 83.930 | 83.930
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.190 | 6.192 | 0.001000 | 0.784 | 7.836
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.594 | 4.506 | 0.001000 | 9.893 | 89.037
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.930 | 3.902 | 0.001000 | 18.980 | 151.838
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.861 | 3.844 | 0.001000 | 28.090 | 196.629
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.895 | 3.797 | 0.001000 | 37.197 | 223.183
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.865 | 3.807 | 0.001000 | 46.302 | 231.508
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.842 | 3.836 | 0.001000 | 55.408 | 221.632
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.829 | 3.819 | 0.001000 | 64.523 | 193.570
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.809 | 3.819 | 0.001000 | 73.633 | 147.265
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.836 | 3.819 | 0.001000 | 82.738 | 82.738
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.186 | 6.187 | 0.001000 | 0.780 | 7.800
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.258 | 4.296 | 0.001000 | 10.080 | 90.722
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.003 | 3.872 | 0.001000 | 19.361 | 154.887
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.940 | 3.872 | 0.001000 | 28.657 | 200.602
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.864 | 3.831 | 0.001000 | 37.954 | 227.722
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.865 | 3.832 | 0.001000 | 47.263 | 236.317
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.824 | 3.837 | 0.001000 | 56.567 | 226.269
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.841 | 3.841 | 0.001000 | 65.882 | 197.645
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.883 | 3.826 | 0.001000 | 75.196 | 150.391
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.850 | 3.816 | 0.001000 | 84.509 | 84.509
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.205 | 6.203 | 0.001000 | 0.777 | 7.767
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.716 | 4.577 | 0.001000 | 10.048 | 90.428
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.005 | 4.014 | 0.001000 | 19.261 | 154.086
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.856 | 3.878 | 0.001000 | 28.467 | 199.269
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.863 | 3.917 | 0.001000 | 37.713 | 226.277
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.900 | 3.850 | 0.001000 | 46.955 | 234.775
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.842 | 3.823 | 0.001000 | 56.207 | 224.829
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.817 | 3.818 | 0.001000 | 65.519 | 196.557
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 4.226 | 4.032 | 0.001000 | 74.840 | 149.681
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.822 | 3.816 | 0.001000 | 84.157 | 84.157
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.232 | 6.233 | 0.001000 | 0.790 | 7.895
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.609 | 4.705 | 0.001000 | 10.054 | 90.487
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.975 | 3.945 | 0.001000 | 19.288 | 154.301
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.888 | 3.870 | 0.001000 | 28.529 | 199.702
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.890 | 3.886 | 0.001000 | 37.773 | 226.639
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.871 | 3.853 | 0.001000 | 47.034 | 235.169
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.810 | 3.818 | 0.001000 | 56.312 | 225.246
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.840 | 3.814 | 0.001000 | 65.574 | 196.721
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.877 | 3.813 | 0.001000 | 74.838 | 149.676
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.871 | 3.797 | 0.001000 | 84.101 | 84.101
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.212 | 6.213 | 0.001000 | 0.788 | 7.881
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.501 | 4.519 | 0.001000 | 10.085 | 90.764
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.916 | 3.906 | 0.001000 | 19.258 | 154.062
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.880 | 3.823 | 0.001000 | 28.446 | 199.122
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 4.024 | 4.002 | 0.001000 | 37.684 | 226.103
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.856 | 3.881 | 0.001000 | 46.936 | 234.678
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.965 | 3.965 | 0.001000 | 56.188 | 224.753
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.903 | 3.891 | 0.001000 | 65.432 | 196.295
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.889 | 3.942 | 0.001000 | 74.620 | 149.239
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.827 | 3.802 | 0.001000 | 83.810 | 83.810
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.235 | 6.235 | 0.001000 | 0.826 | 8.263
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.539 | 4.474 | 0.001000 | 10.445 | 94.001
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.972 | 3.987 | 0.001000 | 20.020 | 160.164
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 4.009 | 3.979 | 0.001000 | 29.631 | 207.418
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.915 | 4.016 | 0.001000 | 39.248 | 235.490
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.812 | 3.851 | 0.001000 | 48.869 | 244.343
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.816 | 3.811 | 0.001000 | 58.494 | 233.976
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.854 | 3.801 | 0.001000 | 68.108 | 204.323
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.828 | 3.846 | 0.001000 | 77.735 | 155.470
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.841 | 3.854 | 0.001000 | 87.359 | 87.359
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.217 | 6.223 | 0.001000 | 0.797 | 7.970
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.514 | 4.443 | 0.001000 | 10.248 | 92.230
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.108 | 4.125 | 0.001000 | 19.675 | 157.398
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.972 | 3.948 | 0.001000 | 29.121 | 203.850
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.855 | 3.863 | 0.001000 | 38.550 | 231.299
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.891 | 3.844 | 0.001000 | 47.996 | 239.979
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.843 | 3.842 | 0.001000 | 57.441 | 229.764
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.814 | 3.796 | 0.001000 | 66.885 | 200.654
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.826 | 3.862 | 0.001000 | 76.340 | 152.680
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.813 | 3.817 | 0.001000 | 85.791 | 85.791
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.229 | 6.229 | 0.001000 | 0.791 | 7.914
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.544 | 4.556 | 0.001000 | 10.059 | 90.529
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.944 | 3.965 | 0.001000 | 19.285 | 154.283
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.872 | 3.909 | 0.001000 | 28.520 | 199.643
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.905 | 3.870 | 0.001000 | 37.761 | 226.567
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.870 | 3.857 | 0.001000 | 47.016 | 235.082
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.879 | 3.833 | 0.001000 | 56.260 | 225.040
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.873 | 3.857 | 0.001000 | 65.519 | 196.556
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.847 | 3.781 | 0.001000 | 74.767 | 149.534
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.880 | 3.850 | 0.001000 | 84.014 | 84.014
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.146 | 6.150 | 0.001000 | 0.802 | 8.021
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.289 | 4.265 | 0.001000 | 10.118 | 91.065
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.013 | 3.978 | 0.001000 | 19.425 | 155.399
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.945 | 3.883 | 0.001000 | 28.733 | 201.128
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.880 | 3.889 | 0.001000 | 38.056 | 228.335
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.847 | 3.813 | 0.001000 | 47.387 | 236.933
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.870 | 3.833 | 0.001000 | 56.720 | 226.881
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.821 | 3.820 | 0.001000 | 66.077 | 198.230
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.857 | 3.808 | 0.001000 | 75.439 | 150.878
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.871 | 3.775 | 0.001000 | 84.848 | 84.848
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.225 | 6.221 | 0.001000 | 0.787 | 7.873
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 5.004 | 5.001 | 0.001000 | 10.025 | 90.228
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.219 | 4.116 | 0.001000 | 19.210 | 153.682
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 4.028 | 3.959 | 0.001000 | 28.361 | 198.529
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.918 | 3.904 | 0.001000 | 37.563 | 225.381
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.873 | 3.917 | 0.001000 | 46.706 | 233.532
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.841 | 3.854 | 0.001000 | 55.922 | 223.689
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.918 | 3.828 | 0.001000 | 65.105 | 195.314
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.858 | 3.833 | 0.001000 | 74.276 | 148.551
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.880 | 3.832 | 0.001000 | 83.405 | 83.405
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.230 | 6.231 | 0.001000 | 0.793 | 7.931
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.695 | 4.617 | 0.001000 | 10.224 | 92.013
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.020 | 3.963 | 0.001000 | 19.585 | 156.683
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 4.274 | 4.326 | 0.001000 | 28.985 | 202.896
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.921 | 3.918 | 0.001000 | 38.405 | 230.431
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.984 | 3.944 | 0.001000 | 47.827 | 239.133
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 4.000 | 4.066 | 0.001000 | 57.254 | 229.016
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.979 | 3.995 | 0.001000 | 66.677 | 200.031
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.904 | 3.968 | 0.001000 | 76.108 | 152.216
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.922 | 4.014 | 0.001000 | 85.531 | 85.531
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.230 | 6.231 | 0.001000 | 0.792 | 7.919
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.563 | 4.565 | 0.001000 | 9.978 | 89.801
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.998 | 3.954 | 0.001000 | 19.156 | 153.246
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.920 | 3.903 | 0.001000 | 28.343 | 198.403
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.852 | 3.914 | 0.001000 | 37.529 | 225.173
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.966 | 4.075 | 0.001000 | 46.720 | 233.602
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 4.018 | 4.074 | 0.001000 | 55.921 | 223.684
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 4.018 | 3.983 | 0.001000 | 65.120 | 195.361
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.975 | 3.907 | 0.001000 | 74.357 | 148.713
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.951 | 3.879 | 0.001000 | 83.580 | 83.580
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.219 | 6.218 | 0.001000 | 0.801 | 8.009
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.558 | 4.766 | 0.001000 | 10.091 | 90.816
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.998 | 3.924 | 0.001000 | 19.357 | 154.857
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.938 | 3.946 | 0.001000 | 28.644 | 200.509
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.864 | 3.942 | 0.001000 | 37.932 | 227.593
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 4.364 | 4.299 | 0.001000 | 47.233 | 236.166
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.962 | 4.065 | 0.001000 | 56.533 | 226.132
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.982 | 3.946 | 0.001000 | 65.838 | 197.514
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.928 | 3.949 | 0.001000 | 75.148 | 150.296
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.890 | 3.826 | 0.001000 | 84.450 | 84.450
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.214 | 6.215 | 0.001000 | 0.810 | 8.101
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.602 | 4.537 | 0.001000 | 10.119 | 91.070
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.990 | 4.028 | 0.001000 | 19.427 | 155.414
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.916 | 3.865 | 0.001000 | 28.764 | 201.350
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.847 | 3.765 | 0.001000 | 38.103 | 228.615
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.884 | 3.851 | 0.001000 | 47.454 | 237.271
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.824 | 3.857 | 0.001000 | 56.811 | 227.243
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.822 | 3.851 | 0.001000 | 66.150 | 198.450
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.848 | 3.817 | 0.001000 | 75.499 | 150.999
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.847 | 3.826 | 0.001000 | 84.860 | 84.860
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.223 | 6.225 | 0.001000 | 0.807 | 8.067
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.659 | 4.643 | 0.001000 | 10.175 | 91.579
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.005 | 3.983 | 0.001000 | 19.555 | 156.441
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.954 | 3.918 | 0.001000 | 28.961 | 202.728
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.867 | 3.835 | 0.001000 | 38.376 | 230.258
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.853 | 3.836 | 0.001000 | 47.796 | 238.979
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.855 | 3.867 | 0.001000 | 57.203 | 228.811
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.869 | 3.917 | 0.001000 | 66.633 | 199.898
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.941 | 3.932 | 0.001000 | 76.062 | 152.123
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.883 | 3.878 | 0.001000 | 85.493 | 85.493
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.215 | 6.213 | 0.001000 | 0.763 | 7.632
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.474 | 4.497 | 0.001000 | 9.889 | 88.999
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.008 | 4.010 | 0.001000 | 18.994 | 151.950
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.973 | 3.958 | 0.001000 | 28.104 | 196.729
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.950 | 3.847 | 0.001000 | 37.218 | 223.309
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.841 | 3.839 | 0.001000 | 46.326 | 231.632
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.871 | 3.812 | 0.001000 | 55.432 | 221.729
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.892 | 3.863 | 0.001000 | 64.540 | 193.620
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.878 | 3.872 | 0.001000 | 73.648 | 147.296
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.864 | 3.851 | 0.001000 | 82.771 | 82.771
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.233 | 6.236 | 0.001000 | 0.782 | 7.823
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.540 | 4.519 | 0.001000 | 10.005 | 90.044
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.992 | 3.998 | 0.001000 | 19.141 | 153.132
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.917 | 3.905 | 0.001000 | 28.277 | 197.941
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.874 | 3.838 | 0.001000 | 37.416 | 224.496
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.872 | 3.901 | 0.001000 | 46.557 | 232.786
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.841 | 3.810 | 0.001000 | 55.694 | 222.774
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.893 | 3.854 | 0.001000 | 64.837 | 194.510
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.889 | 3.892 | 0.001000 | 73.970 | 147.940
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.856 | 3.891 | 0.001000 | 83.123 | 83.123
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.216 | 6.219 | 0.001000 | 0.788 | 7.877
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.530 | 4.448 | 0.001000 | 9.981 | 89.833
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.070 | 4.028 | 0.001000 | 19.135 | 153.077
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.932 | 3.866 | 0.001000 | 28.309 | 198.165
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.897 | 3.879 | 0.001000 | 37.498 | 224.991
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.944 | 3.858 | 0.001000 | 46.689 | 233.446
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.788 | 3.833 | 0.001000 | 55.875 | 223.502
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.840 | 3.829 | 0.001000 | 65.058 | 195.174
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.897 | 3.854 | 0.001000 | 74.246 | 148.493
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.891 | 3.819 | 0.001000 | 83.446 | 83.446
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.193 | 6.195 | 0.001000 | 0.792 | 7.925
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.222 | 6.224 | 0.001000 | 0.791 | 7.914
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.711 | 4.641 | 0.001000 | 9.994 | 89.944
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.096 | 4.002 | 0.001000 | 19.180 | 153.444
